PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
15,14,ADVANCED,45,-2.167928696,3.92222023,-2.611412287,-1.14202261,2.02711916,4.088378906,2.882637024,1.763207674,1.48484695,3.743928194,2.759066582,0.946976244,1.207349062,3.912351847,1.262518883,0.814048648,2.125059366,-3.303802013,0.71436125,0.174181446,3.715223789,3.385588169,3.849731922,1.188869596,3.579013586,2.211014271,1.358846664,1.541326165,2.92172575,2.181502819,3.460098505
16,11.5,ADVANCED,43,-9.932948112,3.368032694,-10.15532303,-4.184607029,2.320207834,1.661715388,3.718103886,1.168127775,-1.460419655,3.24924469,3.253884554,-0.888504505,1.448442459,1.193973303,2.918573856,2.258628607,2.169177055,-10.46737576,-2.376826048,-0.796039879,1.468027353,3.857630253,2.09339118,1.266351342,3.161156654,-0.219716996,-1.319040775,2.473244905,0.697667241,2.801523447,1.000799656
17,13,ADVANCED,46,0.703727782,11.36950779,0.618295908,0.201321244,6.689321518,11.14355659,11.95538616,6.453861713,5.593900204,12.43850517,8.253761292,5.003153801,3.100584745,4.766326427,7.183293819,8.373467445,7.857903004,-0.551783621,5.084801674,1.36296308,8.952010155,10.56475163,11.41309834,7.105679989,9.133460999,6.28934145,1.912929058,4.129389286,3.497394085,6.205868244,4.80502224
18,14,ADVANCED,46,-5.903478622,6.425945759,-7.711881161,-2.454538822,2.662396193,5.05134058,5.288831711,1.880156279,0.370873839,6.147954464,4.384359837,0.020167658,0.939988792,2.226186752,3.133140802,2.148059368,2.966948271,-7.659554958,0.469666511,-1.214545965,4.645956039,4.908335686,5.132719517,1.822630405,5.266034126,3.112200737,0.53446579,2.055963278,1.862025976,2.811801672,2.558866739
19,13,ADVANCED,41,-5.051773071,8.366502762,-5.064236164,-3.682952166,4.034650326,8.55559063,9.458638191,9.555803299,0.444515169,9.268529892,6.553346634,1.488536,0.161265671,3.694094896,6.939238071,8.607898712,4.145816326,-5.883284092,0.633658051,-0.697388053,6.470191956,8.58601284,9.88186264,8.523596764,6.577946663,3.502040386,-1.360319495,2.237032413,0.852563322,5.140944004,6.548703194
20,17,ADVANCED,42,-1.729158282,6.841201782,-1.740676522,-0.229135409,4.969521999,6.343900681,6.77455616,5.598304749,3.909365177,7.193742752,6.031395435,2.902969837,2.158624649,3.315672636,3.654558897,5.331667423,5.949372292,-3.166571617,2.576551199,0.266904324,4.689591885,6.584749222,7.166180611,5.43676424,6.392831802,4.047840118,1.347057462,1.894392848,2.183586597,3.03091836,5.33788681
21,13,ADVANCED,42,-0.876005828,8.629751205,-1.484864712,1.742503762,4.188150406,9.363693237,8.29833889,7.818209648,4.190251827,9.775214195,5.949874878,2.754768372,2.289294958,6.871105194,3.074484348,6.40427494,6.504673958,-1.110486627,4.225932121,0.894610643,8.376570702,7.43287468,9.817297935,6.874236107,7.922911644,6.931666851,4.743997574,2.35977006,5.566758156,2.630941153,7.591517448
22,16,ADVANCED,41,-1.923919916,6.233361244,-2.797930717,0.006041383,2.627287865,5.282230854,5.831428528,3.614346266,2.600822687,6.51583147,4.283238411,1.424208045,0.820655763,4.289186954,3.413807154,4.428394794,3.655676842,-2.706284285,2.513059378,-0.986781478,4.907274723,5.339010715,6.170781612,4.068295002,5.327809811,3.740845442,1.513365507,1.319991469,2.800210953,2.857902288,4.179923534
23,12,ADVANCED,40,-0.246172845,10.38335514,0.048797913,1.273512721,6.880632877,9.204731941,8.501690865,8.078569412,6.178765297,10.96573925,7.902538776,5.674315453,4.944169998,4.359848499,4.295599937,6.549929142,8.092830658,-1.445801497,4.948224545,3.26077199,8.348095894,8.532197952,10.17818546,7.673903465,9.553030014,6.678736687,3.083337784,6.436271191,4.294883251,5.45714426,5.09944582
24,20,ADVANCED,45,1.03119719,13.24111462,0.135118976,-1.204677701,7.965874195,12.88220501,14.12242222,8.885123253,6.28107214,14.98211956,11.73112106,4.813435555,5.069513321,8.239188194,9.038363457,9.045044899,8.545972824,0.659260213,4.481890678,4.343218327,10.05636501,14.07823181,13.70852757,8.912339211,10.48130131,7.377417088,1.640604973,6.863535404,5.070851326,9.348236084,8.737888336
25,14,ADVANCED,40,-9.205510139,2.609985828,-8.367236137,-8.809959412,-1.145966649,2.467059374,4.867022514,4.412396908,-4.120296955,4.512178421,1.30550158,-2.960422993,1.299861193,1.38928628,4.554910183,5.638245583,-2.477842569,-9.492696762,-5.632278442,-0.243408352,0.004814676,3.125961304,5.352832794,4.614992142,-0.403802931,-2.651966333,-4.33465147,2.879582882,-1.752712727,3.588022709,3.160872459
26,15,ADVANCED,42,-3.877386093,12.37756443,-5.644749165,0.099078208,4.977610111,10.62925529,9.934938431,6.072546005,4.255827904,13.05851841,7.069393158,2.946807623,6.529220104,5.180922031,5.183598995,6.207157612,7.568078995,-4.456653118,4.503214359,-1.215651631,9.469361305,8.991471291,10.76299763,5.962107182,10.30627441,7.081314564,2.661971807,3.260362148,5.003977776,4.531650543,4.974698544
27,14,ADVANCED,42,-7.894062996,1.885246754,-7.643168449,-4.359317303,-0.936093748,1.921725869,0.755671024,0.044590782,-3.531863689,1.478095531,1.774116278,-3.699270964,0.61537081,0.971384943,-0.309803188,-0.549510956,-1.46590364,-8.926749229,-4.389621735,-0.327449769,1.363170266,1.778216958,1.536932111,-0.139392018,0.942691743,-2.67070055,-1.287494302,1.03973496,0.044929478,0.268724144,0.39960736
28,15,ADVANCED,44,-0.336504042,5.786284924,-0.052633338,0.25104326,2.268950701,5.815630913,5.027454376,4.822181225,1.224626184,6.117036343,3.741659164,1.375312209,3.007455587,4.238154888,3.291594505,4.347998142,2.273430347,0.101918735,1.157877803,2.630641222,4.397992611,4.934804916,6.173826218,4.427290916,4.256201267,2.830122709,2.150454998,3.237399817,3.522973299,3.591475487,4.462305546
29,14,ADVANCED,43,-2.020801306,2.716392279,-2.791661739,-2.110300064,3.085100174,2.907992363,3.290845633,3.783333302,1.331447244,3.742180109,3.215886593,1.39046824,1.208756566,2.978814125,2.010042191,3.366504192,2.813922167,-2.504187584,-0.081527099,-0.057672802,1.812944651,3.417310476,3.777784824,3.620217562,2.823276997,0.318080038,-0.076848954,1.41329968,1.882891893,1.803937554,3.888575554
